寒舍食譜 (台北寒舍艾美酒店),,110台灣台北市信義區松仁路38號,臺北市,信義區,25.0382675,121.5681767,"星期一: 11:30 – 14:00, 18:00 – 21:30,星期二: 11:30 – 14:00, 18:00 – 21:30,星期三: 11:30 – 14:00, 18:00 – 21:30,星期四: 11:30 – 14:00, 18:00 – 21:30,星期五: 11:30 – 14:00, 18:00 – 21:30,星期六: 11:30 – 14:00, 18:00 – 21:30,星期日: 11:30 – 14:00, 18:00 – 21:30",,02 6622 5820,https://maps.google.com/?cid=18230645870557760026,1
S Restaurant & Bar,,105台灣台北市松山區敦化北路150號,臺北市,松山區,25.0546615,121.5485868,"星期一: 12:00 – 17:30,星期二: 12:00 – 17:30,星期三: 12:00 – 17:30,星期四: 12:00 – 17:30,星期五: 12:00 – 17:30,星期六: 12:00 – 17:30,星期日: 12:00 – 17:30",,02 2712 0877,https://maps.google.com/?cid=18034454452797116152,1
MUME,,106台灣台北市大安區四維路28號,臺北市,大安區,25.0363287,121.5480527,"星期一: 17:30 – 23:00,星期二: 17:30 – 23:00,星期三: 17:30 – 23:00,星期四: 17:30 – 23:00,星期五: 17:30 – 23:00,星期六: 17:30 – 23:00,星期日: 17:30 – 23:00",,02 2700 0901,https://maps.google.com/?cid=3458791050005111054,1
紫艷中餐廳,,110台灣台北市信義區忠孝東路五段10號31樓,臺北市,信義區,25.040598,121.565735,"星期一: 11:30 – 14:30, 18:00 – 22:00,星期二: 11:30 – 14:30, 18:00 – 22:00,星期三: 11:30 – 14:30, 18:00 – 22:00,星期四: 11:30 – 14:30, 18:00 – 22:00,星期五: 11:30 – 14:30, 18:00 – 22:00,星期六: 11:30 – 14:30, 18:00 – 22:00,星期日: 11:30 – 14:30, 18:00 – 22:00",,02 7703 8768,https://maps.google.com/?cid=7783588919071313114,1
PICO PICO,,106台灣台北市大安區安和路一段102巷28號,臺北市,大安區,25.034185,121.5503357,"星期一: 休息,星期二: 16:00 – 23:00,星期三: 16:00 – 23:00,星期四: 16:00 – 23:00,星期五: 16:00 – 23:00,星期六: 16:00 – 23:00,星期日: 休息",,02 2755 1161,https://maps.google.com/?cid=6726172599841555533,1
GMT義大利餐廳,,10491台灣台北市中山區樂群二路55號,臺北市,中山區,25.0806504,121.5536392,"星期一: 11:30 – 14:30,星期二: 11:30 – 14:30,星期三: 11:30 – 14:30,星期四: 11:30 – 14:30,星期五: 11:30 – 14:30, 18:00 – 22:00,星期六: 11:00 – 14:30, 18:00 – 22:00,星期日: 11:00 – 14:30, 18:00 – 22:00",,02 7722 3396,https://maps.google.com/?cid=10266355212768720694,1
KiKi餐廳(信義誠品店),,110台灣台北市信義區松高路11號誠品生活商場 4樓,臺北市,信義區,25.039664,121.5657554,"星期一: 11:00 – 15:00, 17:15 – 21:30,星期二: 11:00 – 15:00, 17:15 – 21:30,星期三: 11:00 – 15:00, 17:15 – 21:30,星期四: 11:00 – 15:00, 17:15 – 21:30,星期五: 11:00 – 15:00, 17:15 – 22:00,星期六: 11:00 – 15:00, 17:15 – 22:00,星期日: 11:00 – 15:00, 17:15 – 21:30",,02 2722 0388,https://maps.google.com/?cid=15238668193543725633,1
台北雙層餐車,,110台灣台北市信義區忠孝東路五段68之2號,臺北市,信義區,25.0409744,121.5669468,,,,https://maps.google.com/?cid=1516081034610559091,1
Ephernité,,106台灣台北市大安區安和路二段233號,臺北市,大安區,25.025144,121.550315,"星期一: 休息,星期二: 休息,星期三: 18:30 – 00:00,星期四: 18:30 – 00:00,星期五: 18:30 – 00:00,星期六: 18:30 – 00:00,星期日: 18:30 – 00:00",,02 2732 0732,https://maps.google.com/?cid=5999748013633755562,1
昊宴當行 Taipei x Restaurant & Lounge,,10686台灣台北市大安區仁愛路四段345巷4弄8號,臺北市,大安區,25.03881,121.5535833,"星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 03:00,星期六: 18:00 – 03:00,星期日: 18:00 – 02:00",,02 8773 9871,https://maps.google.com/?cid=16144594201076309844,1
